week,month_of_year,week_of_month,bed_bath_table_items,computers_accessories_items,furniture_decor_items,health_beauty_items,sports_leisure_items,bed_bath_table_price,computers_accessories_price,furniture_decor_price,health_beauty_price,sports_leisure_price,bed_bath_table_freight,computers_accessories_freight,furniture_decor_freight,health_beauty_freight,sports_leisure_freight,bed_bath_table_review,computers_accessories_review,furniture_decor_review,health_beauty_review,sports_leisure_review,bed_bath_table_shipping,computers_accessories_shipping,furniture_decor_shipping,health_beauty_shipping,sports_leisure_shipping
2017-06-19/2017-06-25,6,3,59,42,51,38,35,5352.99,3599.59,4117.37,5614.31,4280.8,990.28,754.2,1892.18,1016.5600000000001,956.9300000000001,4.1525423728813555,4.333333333333333,3.823529411764706,4.342105263157895,4.485714285714286,13.704150973006906,12.250391038359789,12.749421523238924,14.436639558966862,14.343941137566137
2017-06-26/2017-07-02,6,4,74,31,56,50,58,8601.44,7711.0599999999995,6001.73,5766.02,6356.17,1340.48,754.4,1060.92,901.15,1128.21,4.054054054054054,4.258064516129032,4.160714285714286,4.38,4.482758620689655,13.979939627127127,11.683720504778973,11.112995205026454,11.580730555555556,12.141240221902937
2017-07-03/2017-07-09,7,1,104,53,72,49,74,10632.68,8652.73,6121.82,6051.69,5955.96,1772.75,1543.93,1267.84,845.35,1462.07,4.326923076923077,3.660377358490566,4.291666666666667,4.408163265306122,4.405405405405405,12.652680511039886,11.392655267295597,12.431434863683128,10.079913784958428,14.24958348973974
2017-07-10/2017-07-16,7,2,109,62,54,75,76,12812.880000000001,7142.92,3794.26,4600.22,8121.57,2158.27,1219.05,970.3100000000001,980.6899999999999,1868.8999999999999,4.110091743119266,4.17741935483871,4.333333333333333,3.3066666666666666,4.2631578947368425,12.391921296296296,11.09561641278375,11.981068244170096,11.668895061728394,11.854469267787525
2017-07-17/2017-07-23,7,3,152,67,51,65,67,18069.28,9070.57,3371.0,6925.63,6075.04,2859.7,1230.35,856.57,1016.92,1141.74,3.848684210526316,4.253731343283582,3.9607843137254903,3.8,4.253731343283582,12.576466633162768,14.532990257048093,11.786284495279594,16.034248753561254,14.852076077943615
2017-07-24/2017-07-30,7,4,113,73,77,54,89,11403.1,7063.58,5437.11,9303.42,11778.37,2075.72,1220.11,1564.18,1223.11,1573.0,4.1946902654867255,4.205479452054795,4.12987012987013,4.055555555555555,4.157303370786517,12.689183464437889,13.634674023338407,13.203556096681098,11.386577074759945,12.589617405326676
2017-07-31/2017-08-06,7,5,64,74,84,60,78,7622.84,7040.87,5688.52,7148.8,8263.67,1135.84,1131.44,1518.25,1053.56,1753.8,4.234375,4.135135135135135,4.2023809523809526,4.283333333333333,4.294871794871795,13.880577076099536,12.58520630005005,12.646384479717813,12.208413194444443,12.940578703703704
2017-08-07/2017-08-13,8,1,157,57,62,64,80,12759.89,7282.59,4962.21,10359.31,8329.28,2998.22,1047.49,1097.64,1266.66,1479.25,4.286624203821656,4.298245614035087,3.9516129032258065,4.265625,4.35,13.469400433474876,14.510306002274204,13.179525276284348,13.543332609953703,12.182390480324074
2017-08-14/2017-08-20,8,2,118,73,80,64,90,12791.710000000001,5624.84,7741.75,9951.46,7287.62,2242.17,1246.81,1574.14,1076.73,1493.86,4.1440677966101696,3.9863013698630136,4.2125,4.203125,4.455555555555556,13.378776777306967,12.816676021055303,11.858153356481482,10.409101743344907,13.69882510288066
2017-08-21/2017-08-27,8,3,93,64,96,52,71,9108.97,6762.2300000000005,7104.27,5732.26,6491.32,1459.56,945.76,1941.34,823.79,1270.43,3.7096774193548385,4.515625,4.1875,4.326923076923077,4.28169014084507,13.230190661091198,11.424927842881944,13.842428867669753,15.00513977920228,11.429796394105374
